matcherUuid,contactfrequencyOption,genderOption,hobbyOption,sameMajorOption,ageOption,mbtiOption,myMajor,,,,
f8e2135a37e14e718aef99847354af6d,20,FREQUENT,MALE,"배드민턴,캠핑,극장,해외 팝송",의생명과학과,ISTJ,TRUE,0.2,0.2,0.2,0.4
79c19e76219a4ae895d3177ed132b7e3,26,NORMAL,MALE,"투자,힙합,라디오,인디음악,롤",미디어기술콘텐츠학과,ISTJ,FALSE,0.2,0.2,0.2,0.4
9247e38f97064090b11ddf2658a0de97,21,NOT_FREQUENT,FEMALE,"오버워치,OTT 시청,방탈출,수필,웹툰,요가,롤토체스,악기 연주,힙합",회계학과,ENFP,FALSE,0.2,0.2,0.2,0.4
2348aa439ad74547b154f9319e286c3f,30,FREQUENT,MALE,"독서,페스티벌,야구,배드민턴,요리,OTT 시청,전시회,캠핑,비평",정보통신전자공학부,INFP,TRUE,0.2,0.2,0.2,0.4
e30c47146c144e169a87c48141270101,25,NORMAL,FEMALE,"농구,영화제,등산,보드게임",화학과,ESFJ,FALSE,0.2,0.2,0.2,0.4
54ddfa95700a4a83ac47d34e8bfc0d36,22,NOT_FREQUENT,FEMALE,"드라이브,요가,스팀게임,티,피파,야구,맛집 탐방,오페라",의류학과,ISTJ,FALSE,0.2,0.2,0.2,0.4
afe30879ee2c46c68a111ac563f1930c,29,NOT_FREQUENT,FEMALE,클래식,의류학과,ENFP,FALSE,0.2,0.2,0.2,0.4
89dd4ae17c464bcfba6fe5cc59c8da75,22,NORMAL,MALE,"피파,자전거,캠핑,공예,뜨개질",수학과,ENTP,FALSE,0.2,0.2,0.2,0.4
dc53417292d14907879a19dbe2fdd969,22,NOT_FREQUENT,FEMALE,"러닝,해외 여행,축제,독서",사회학과,ENFP,FALSE,0.2,0.2,0.2,0.4
57bac2da027a4a2585b5ec8e066018dc,25,NORMAL,FEMALE,전통,경영학과,ESTJ,TRUE,0.2,0.2,0.2,0.4
07da2e0c9d3f4569a666ca4bfb5f6504,23,NORMAL,MALE,"요가,디자인",행정학과,ISTJ,TRUE,0.2,0.2,0.2,0.4
ff69321f719d468cb126a47bc7394c7b,28,NORMAL,FEMALE,"사진 촬영,러닝,뮤지컬,맛집 탐방,캠핑,회화,독서",회계학과,ENTP,TRUE,0.2,0.2,0.2,0.4
9c0f4a7bdfde4f1a9fb8dd9885eff0ff,23,FREQUENT,MALE,"조형,휴식,국내 여행",식품영양학과,INTP,FALSE,0.2,0.2,0.2,0.4
822e3494077549ee98ab7823f4c7d21b,29,NOT_FREQUENT,FEMALE,"클라이밍,해외 팝송,도예",국제학부,INTJ,FALSE,0.2,0.2,0.2,0.4
801179c0627046b182db2dd532eacfdc,22,FREQUENT,MALE,"한복,뜨개질,요가,방탈출",영어영문학부,ISFP,FALSE,0.2,0.2,0.2,0.4
4223e6a47f87435fb6990cdb3e445747,21,NORMAL,FEMALE,"OTT 시청,만화,발라드,러닝,인디음악,배드민턴",행정학과,ESTJ,FALSE,0.2,0.2,0.2,0.4
6300c88f88a34c2e922bf0aa465cf29b,30,FREQUENT,MALE,"페스티벌,요가,캘리",의류학과,ENFJ,FALSE,0.2,0.2,0.2,0.4
5743b0bfe38746e3961fe2a7de5e425f,27,NOT_FREQUENT,MALE,"수집,창작",인공지능학과,INFP,FALSE,0.2,0.2,0.2,0.4
ba8f84c2c31a4feeaa5fc91a01e109cb,22,NORMAL,MALE,"맛집 탐방,코딩,오버워치,요가,야구,뮤지컬,일러",컴퓨터정보공학부,ENFJ,TRUE,0.2,0.2,0.2,0.4
a9e2c76e8bf749a58e7470e3abfd4d18,25,NOT_FREQUENT,MALE,"k-pop,클라이밍,보드게임,티,페스티벌,영화,헬스,해외 팝송,피파,극작",미디어기술콘텐츠학과,ESTJ,TRUE,0.2,0.2,0.2,0.4
0cd552f41ede43b9bb8cc9ce7aeb4cb8,28,NOT_FREQUENT,FEMALE,"악기 연주,k-pop,웹툰,오케,해외 팝송,휴식,롤토체스",정보통신전자공학부,ENTJ,TRUE,0.2,0.2,0.2,0.4
1e18eb72b8eb4b39a51e7e96769d8dc0,20,NORMAL,FEMALE,채색,에너지환경공학과,INTP,FALSE,0.2,0.2,0.2,0.4
b7c78889f6124ab1a277d0d7fca4e8cb,22,NOT_FREQUENT,MALE,스케치,공간디자인소비자학과,INFP,FALSE,0.2,0.2,0.2,0.4
e4dffb0a53f14faa8195d9c5264d2f45,21,NOT_FREQUENT,MALE,"모바일게임,드라이브,영화,패션,웹툰,맛집 탐방,음원,전시회,페스티벌",법학과,ISTJ,FALSE,0.2,0.2,0.2,0.4
b6975515813041e5b48498bb1c187433,22,FREQUENT,MALE,"뜨개질,모바일게임,스팀게임,축구,러닝,요가,디카,독서,자전거",법학과,ESTP,TRUE,0.2,0.2,0.2,0.4
8d2cc1e7015745769368ae8be44bc174,26,NOT_FREQUENT,FEMALE,"영화,배그,악기 연주,수공,캠핑,페스티벌,뜨개질,댄스,방탈출",식품영양학과,ENFP,TRUE,0.2,0.2,0.2,0.4
b616b4fa1418487c9058d1200f33242d,20,NORMAL,MALE,"악기 연주,캠핑,차박,국내 여행,페스티벌,OTT 시청,요가,사진 촬영,해외 팝송",특수교육과,ESTJ,TRUE,0.2,0.2,0.2,0.4
2495cad38afc4c5fbd56829f9250bd8a,22,FREQUENT,MALE,"배드민턴,배낭,휴식",회계학과,ISFJ,TRUE,0.2,0.2,0.2,0.4
2fbd992f89024541a22c9b7fd7ff58d6,23,NOT_FREQUENT,MALE,"야구,도보",심리학과,ENTP,TRUE,0.2,0.2,0.2,0.4
784c5fb6526449f18d9815a7e25fc4ef,30,NORMAL,FEMALE,"코딩,전시회,오지,클라이밍,영화,웹툰,뜨개질",물리학과,INFJ,FALSE,0.2,0.2,0.2,0.4
7f45dae295c24428bb51e487b42ddeee,29,NOT_FREQUENT,MALE,"사진 촬영,롤토체스,뜨개질,방탈출,영화,코딩,섬여행,수집,피파",식품영양학과,ENFJ,FALSE,0.2,0.2,0.2,0.4
22867a1c03ed4a519a53ce80b410a971,22,NORMAL,FEMALE,"배그,농구,모바일게임,발라드,티,해외 팝송,휴양",데이터사이언스학과,ENFJ,TRUE,0.2,0.2,0.2,0.4
012a7188a82a41dca5c563a41acffccb,28,FREQUENT,FEMALE,트레킹,경영학과,INFJ,TRUE,0.2,0.2,0.2,0.4
bc120b60018a4aacbf51f823c69dee20,23,NOT_FREQUENT,MALE,"요리,휴식,헬스,힙합,패션,시골",컴퓨터정보공학부,INFP,FALSE,0.2,0.2,0.2,0.4
8b69af49e6014d629e02675d6394c916,20,NORMAL,FEMALE,"스팀게임,웹툰,헬스,방탈출,야구,수집,티,축구,페스티벌,해변",의생명과학과,INFP,FALSE,0.2,0.2,0.2,0.4
56673b508f5f441c8fab8395b5279cc9,30,NOT_FREQUENT,FEMALE,유적,중국언어문화학과,ESFP,FALSE,0.2,0.2,0.2,0.4
fe4631f64d7c4c088f6da07a8f2423ff,28,FREQUENT,FEMALE,"자전거,휴식,보드게임,요리,모바일게임,일주,투자,악기 연주,수집",정보통신전자공학부,ISTJ,FALSE,0.2,0.2,0.2,0.4
3351f0abf8ca4e108084c6722723fb36,24,NOT_FREQUENT,FEMALE,"오버워치,크루즈",철학과,INFJ,TRUE,0.2,0.2,0.2,0.4
b7df4008a3a448ebbb33510c2114430d,24,NORMAL,MALE,"배드민턴,등대,OTT 시청",의류학과,ISTP,TRUE,0.2,0.2,0.2,0.4
792cae502e03423b81eaf25e3eb1cf56,28,NORMAL,FEMALE,"해외 팝송,헬스,휴식,발라드,야구,댄스,혼행",경영학과,INFJ,TRUE,0.2,0.2,0.2,0.4
fbbdc7aa626b4439aee3fe5b52b3c409,28,NORMAL,MALE,"배드민턴,악기 연주,k-pop,드라이브,국내 여행,보드게임,열차",바이오메디컬화학공학과,INTP,FALSE,0.2,0.2,0.2,0.4
ebc79914a70543a9a289deb2daa8b1c3,26,NORMAL,FEMALE,"글램,배그,배드민턴,페스티벌,OTT 시청",에너지환경공학과,ESFP,TRUE,0.2,0.2,0.2,0.4
e9a023b684c94efea04cdd62fb9a2b43,26,NOT_FREQUENT,FEMALE,"체험,패션",정보통신전자공학부,ISFJ,TRUE,0.2,0.2,0.2,0.4
6096c63e62954d23b5a2d73e2e93c2f1,20,FREQUENT,FEMALE,"드라이브,정리,보드게임,클라이밍,코딩,헬스,댄스",화학과,INFJ,TRUE,0.2,0.2,0.2,0.4
be1bd1e64fdb46a58ce51852401d6925,26,NOT_FREQUENT,MALE,새벽,화학과,ESFJ,TRUE,0.2,0.2,0.2,0.4
a38ec6da5c7541c084472284f23e2e20,29,NORMAL,MALE,"롤,영화,코딩,뜨개질,농구,전시회,방탈출,맛집 탐방,피파,학습",심리학과,INTJ,TRUE,0.2,0.2,0.2,0.4
754be8b4c8cd4f72878961dc85919673,21,NOT_FREQUENT,MALE,"러닝,축구,교양",화학과,ISFP,FALSE,0.2,0.2,0.2,0.4
c9fef006fe3f40a9a9aaf2d2472355bf,26,NOT_FREQUENT,MALE,"발라드,피파,보드게임,휴식,웹툰,악기 연주,클라이밍,배그,독학",국제학부,ISTJ,TRUE,0.2,0.2,0.2,0.4
1f49626375f747d98894941d1891e763,22,NOT_FREQUENT,FEMALE,"페스티벌,티,오버워치,스터디,자전거",물리학과,ESFP,TRUE,0.2,0.2,0.2,0.4
14cc992a466749fabb3a59df953bb43d,24,FREQUENT,MALE,"메모,독서,티,러닝,헬스,댄스,야구,뮤지컬,캠핑,방탈출",공간디자인소비자학과,ESTJ,TRUE,0.2,0.2,0.2,0.4
6a625d23cd2040d294a3b244b6ea5061,23,NORMAL,FEMALE,"절약,배그",행정학과,ESFP,TRUE,0.2,0.2,0.2,0.4
bd706de33cdb43fbb2f409dfac2ab90a,30,FREQUENT,MALE,"일기,댄스,맛집 탐방",사회학과,ENTP,TRUE,0.2,0.2,0.2,0.4
e44c77bea60e4d18933e5779d7f499ae,26,FREQUENT,FEMALE,"가계,맛집 탐방,뜨개질,드라이브",식품영양학과,ENTJ,TRUE,0.2,0.2,0.2,0.4
73db480e553e41af915d1beb976bead5,25,FREQUENT,MALE,"페스티벌,회고,OTT 시청,국내 여행,댄스,맛집 탐방",특수교육과,ENTJ,TRUE,0.2,0.2,0.2,0.4
7b613059f7254fe3baf15035038b714c,26,FREQUENT,MALE,"스팀게임,웹툰,홈트,뮤지컬",화학과,ISFP,FALSE,0.2,0.2,0.2,0.4
dfecedbd2a474e2996b1d92cd4ebe7e2,27,NOT_FREQUENT,MALE,"베이킹,해외 여행,야구,농구,영화,드라이브,구독,투자,보드게임,발라드",경영학과,ENFP,TRUE,0.2,0.2,0.2,0.4
285a90095ecc487bb1460acc3bc93986,25,FREQUENT,MALE,"롤토체스,페스티벌,k-pop,청소,코딩",미디어기술콘텐츠학과,INFJ,FALSE,0.2,0.2,0.2,0.4
2728b04f0c49439ea4b964ae9a696f3b,29,FREQUENT,FEMALE,"수집,해외 팝송,롤,배그,사진 촬영,코딩,보드게임,다짐,힙합,드라이브",에너지환경공학과,INFP,FALSE,0.2,0.2,0.2,0.4
0c6ed45472884dcd84e49ba81f76cd76,22,NOT_FREQUENT,FEMALE,"요리,티,보드게임,방탈출,마작",수학과,INFJ,TRUE,0.2,0.2,0.2,0.4
18bab6b2a38e4101896a8728d67c4431,28,NORMAL,MALE,테트,회계학과,ISFJ,FALSE,0.2,0.2,0.2,0.4
03a9d3e1a85640b99c8187bdef0e392e,24,NOT_FREQUENT,MALE,"스도쿠,휴식,해외 팝송,국내 여행",생명공학과,INTP,FALSE,0.2,0.2,0.2,0.4
b27051f84d4c4a6ea75333c698b28248,25,NOT_FREQUENT,FEMALE,"국내 여행,전시회,티,해외 팝송,OTT 시청,퍼즐",물리학과,ISFJ,TRUE,0.2,0.2,0.2,0.4
db3883000ea44fdd98de3b3db3144a82,28,NORMAL,FEMALE,"카드,독서,티,롤토체스,스팀게임,힙합,농구",행정학과,INFJ,TRUE,0.2,0.2,0.2,0.4
818c79cc045e4edabebd2db79c7d48ae,30,FREQUENT,FEMALE,"맛집 탐방,해외 여행,도미노,페스티벌",회계학과,ISFP,FALSE,0.2,0.2,0.2,0.4
8e581d5b6844467bb61f77acca50f7aa,28,FREQUENT,MALE,"영화,보드게임,야구,큐브,코딩,k-pop,배드민턴,롤토체스,해외 여행",인공지능학과,ESFJ,TRUE,0.2,0.2,0.2,0.4
1023811074354eed8c8abbda141e6294,28,NORMAL,MALE,"휴식,페스티벌,자전거,축구,보드게임,롤,퀴즈",물리학과,INFP,FALSE,0.2,0.2,0.2,0.4
270a2fd9f8fc439cbae0222609ac3ce8,26,NOT_FREQUENT,MALE,"뮤지컬,페스티벌,영화,러닝,VR",정보통신전자공학부,ESFJ,TRUE,0.2,0.2,0.2,0.4
50134c5c9b9c4fd097e5ba0841779777,25,FREQUENT,MALE,"k-pop,요리,클라이밍,맛집 탐방,방치,베이킹,인디음악",특수교육과,ISFP,FALSE,0.2,0.2,0.2,0.4
396d28c353a84c6ba2e9cbaa8bb10ad4,26,NORMAL,FEMALE,"OTT 시청,인디,오버워치,수집",바이오메디컬화학공학과,ENFP,FALSE,0.2,0.2,0.2,0.4
e951796646a446609153fc09d8c99fa9,20,NORMAL,FEMALE,"방탈출,해외 여행,요리,힙합,닌텐도,축구",식품영양학과,ISTJ,FALSE,0.2,0.2,0.2,0.4
6001019893d746b98d3943df1cdaa994,30,NORMAL,FEMALE,포커,물리학과,INTP,FALSE,0.2,0.2,0.2,0.4
9ece5e562bbe4c3089ac7f18a4ce9cf7,29,NORMAL,FEMALE,"장기,배드민턴,힙합,피파,맛집 탐방",경영학과,INTJ,TRUE,0.2,0.2,0.2,0.4
7bc868c22138485994f48418e643ac82,24,FREQUENT,MALE,"요가,투자,OTT 시청,삼국,영화,오버워치,웹툰,인디음악,페스티벌,맛집 탐방",데이터사이언스학과,ENTJ,FALSE,0.2,0.2,0.2,0.4
51df19d6d034419a99a17bce7ab2c19b,28,NORMAL,FEMALE,"도타,보드게임,페스티벌,영화,발라드",데이터사이언스학과,ESTP,TRUE,0.2,0.2,0.2,0.4
6803394a5e074e4f88e49af122d11de6,26,NORMAL,MALE,"러닝,투자,낚시,배드민턴,등산,오버워치",사회학과,ESTJ,FALSE,0.2,0.2,0.2,0.4
45b1ba4a1d144ecfb574a53c5db067c2,21,NORMAL,MALE,"k-pop,코딩,만담,사진 촬영,댄스",심리학과,INTJ,TRUE,0.2,0.2,0.2,0.4
187cffe1dc124b768f2edf07a94d3280,21,FREQUENT,MALE,"베이킹,애견,요가,뮤지컬,배그,사진 촬영,피파,배드민턴",심리학과,ESFJ,FALSE,0.2,0.2,0.2,0.4
83440176736c411ba1f0df5a67228853,23,NOT_FREQUENT,MALE,"수련,인디음악,롤,베이킹,방탈출",물리학과,INTP,TRUE,0.2,0.2,0.2,0.4
31bf845d381844bfbdba9fdadb6ef6b2,28,FREQUENT,MALE,"휴식,독서,티",의류학과,INTP,TRUE,0.2,0.2,0.2,0.4
e2f84f908bb7409e8c731f900e1d9b66,21,NORMAL,FEMALE,"자전거,헬스,배드민턴,뮤지컬",국제학부,ISFJ,TRUE,0.2,0.2,0.2,0.4
aa38d35203464b9ba16994050683f2cd,25,FREQUENT,FEMALE,"힙합,사진 촬영,배드민턴,웹툰,피파",철학과,ENTJ,FALSE,0.2,0.2,0.2,0.4
1186bfdb623647198f70e9b7f65c9735,20,NOT_FREQUENT,FEMALE,"보드게임,사진 촬영",화학과,ESFP,FALSE,0.2,0.2,0.2,0.4
72974e58dd074974a547966660acfe83,22,FREQUENT,MALE,러닝,물리학과,INTP,FALSE,0.2,0.2,0.2,0.4
253eb1fed2d64016a2c21e3eed0f039a,21,NOT_FREQUENT,MALE,"피파,축구,발라드,사진 촬영,드라이브,뜨개질,수집,k-pop,롤토체스,자전거",철학과,ISTP,TRUE,0.2,0.2,0.2,0.4
ca752b836cd647a58abe0a42e81ac096,23,NORMAL,MALE,"해외 팝송,티,요가",데이터사이언스학과,ISTJ,TRUE,0.2,0.2,0.2,0.4
bc4a689a9081496dacd7b3018db27305,28,NOT_FREQUENT,FEMALE,"발라드,사진 촬영,드라이브,티,베이킹,인디음악,축구,패션,야구,휴식",정보통신전자공학부,ESTP,TRUE,0.2,0.2,0.2,0.4
1badb1960d80444e8f2058acd9431ef5,30,NORMAL,FEMALE,"배드민턴,전시회,악기 연주,댄스,코딩,러닝,뮤지컬,피파,요가",화학과,INTP,FALSE,0.2,0.2,0.2,0.4
cbc859ef0c564094aa5f76cab75c2e06,22,FREQUENT,MALE,"인디음악,헬스,발라드,페스티벌",정보통신전자공학부,ENTP,FALSE,0.2,0.2,0.2,0.4
8f981d60266c458398f8017536b8e94e,29,FREQUENT,FEMALE,"자전거,티,악기 연주,사진 촬영,발라드,캠핑,휴식,롤토체스,뮤지컬",의생명과학과,ISTP,FALSE,0.2,0.2,0.2,0.4
d52b60eec3d9413e814a1d1bc560ffdb,20,NORMAL,MALE,"배드민턴,OTT 시청,야구,농구,독서,국내 여행,k-pop,페스티벌,헬스,오버워치",생명공학과,ESTJ,TRUE,0.2,0.2,0.2,0.4
64f4f2c7a1924b85ba810c352c670ab0,24,FREQUENT,MALE,"피파,롤,뮤지컬,수집,모바일게임,농구,자전거,해외 여행,오버워치",경영학과,ENTJ,TRUE,0.2,0.2,0.2,0.4
5f2b355a27c34a6493fc32fe307e69e9,27,FREQUENT,FEMALE,"댄스,발라드,축구,롤,야구,사진 촬영,헬스,클라이밍,k-pop,요가",인공지능학과,ENFP,FALSE,0.2,0.2,0.2,0.4
5ec11e763c5d437f9174bca317ed7e90,23,FREQUENT,MALE,"티,롤토체스,웹툰,발라드,배그,드라이브,전시회",의류학과,ISFJ,FALSE,0.2,0.2,0.2,0.4
942c59d5906e4228827fd9c24e3f0222,23,FREQUENT,MALE,"헬스,자전거,야구,발라드,드라이브,OTT 시청,휴식",물리학과,ESFP,TRUE,0.2,0.2,0.2,0.4
0fc91306deca44448708a8437d0ce0c5,20,FREQUENT,FEMALE,"코딩,모바일게임,스팀게임,해외 여행,투자,패션,헬스",심리학과,ISFJ,FALSE,0.2,0.2,0.2,0.4
9534667fae7c4399ad98708f35d67cfd,24,NORMAL,MALE,"영화,국내 여행",특수교육과,INTJ,FALSE,0.2,0.2,0.2,0.4
755ceb747f524381aa69c1980263ce38,20,NOT_FREQUENT,MALE,"코딩,인디음악,투자,휴식",화학과,ISFP,TRUE,0.2,0.2,0.2,0.4
71d016384390499bbf60f0b0f7806f71,30,FREQUENT,FEMALE,OTT 시청,바이오메디컬화학공학과,ISTJ,TRUE,0.2,0.2,0.2,0.4
d07a8bb08e5d460ab4c746aee55b73a4,30,FREQUENT,FEMALE,"모바일게임,페스티벌",자유전공학과,ESTJ,FALSE,0.2,0.2,0.2,0.4
6a16a3acca1d471783e2ed09537700f9,26,NORMAL,FEMALE,"요가,배드민턴,k-pop,보드게임,해외 여행,야구,웹툰",인공지능학과,ESFJ,FALSE,0.2,0.2,0.2,0.4
aaf4e0c31c5f4fe0b1b99f7d66981307,27,NOT_FREQUENT,FEMALE,"방탈출,요리,인디음악,모바일게임",사회학과,INTP,FALSE,0.2,0.2,0.2,0.4
ebb8110b2b02468887060cc0de46c211,20,NOT_FREQUENT,MALE,"농구,스팀게임,k-pop,롤토체스,웹툰,야구,롤,해외 여행,모바일게임,인디음악",경영학과,ISFP,TRUE,0.2,0.2,0.2,0.4
b9631c6c73eb4b0d8fea40ce5e5ea8ef,25,FREQUENT,MALE,"해외 팝송,힙합,맛집 탐방,국내 여행,자전거",법학과,ISFJ,TRUE,0.2,0.2,0.2,0.4
55ad78be38cc4c9cb626010379732014,29,FREQUENT,FEMALE,"k-pop,사진 촬영,오버워치,독서,롤토체스,발라드,웹툰",경영학과,ISFJ,FALSE,0.2,0.2,0.2,0.4
b16d06cf74e24ba7be2b66a9f9dadfa5,25,NORMAL,MALE,"투자,농구,코딩,티,인디음악,헬스",행정학과,INTP,TRUE,0.2,0.2,0.2,0.4
1a96b3dcb534488198d1e058e8c8a0f3,29,NOT_FREQUENT,FEMALE,"k-pop,힙합,수집,국내 여행,패션,OTT 시청,클라이밍,보드게임,전시회",경영학과,INFJ,FALSE,0.2,0.2,0.2,0.4
d4adf1e06a664b5685b8f43989176d0e,27,NORMAL,MALE,해외 여행,사회학과,ISFJ,FALSE,0.2,0.2,0.2,0.4
c1cde33bd26d4732a72cd537f6922808,26,FREQUENT,MALE,"웹툰,배그,베이킹,야구,스팀게임",수학과,ENFP,TRUE,0.2,0.2,0.2,0.4
0d694c90d63a4a4b807d5035268902fc,26,FREQUENT,MALE,"패션,OTT 시청,드라이브,배드민턴,요리,오버워치,러닝,야구",철학과,ENTP,FALSE,0.2,0.2,0.2,0.4
97f3f2cb65fc4cd0ba38ef1ad7a56c7c,29,FREQUENT,MALE,"사진 촬영,인디음악,뜨개질,페스티벌,패션,농구,헬스,스팀게임,보드게임,야구",미디어기술콘텐츠학과,ESTP,FALSE,0.2,0.2,0.2,0.4
f0b58a5ba1dc477bb293227306ebdc8d,22,FREQUENT,FEMALE,"배그,악기 연주,배드민턴,코딩",화학과,ESTP,FALSE,0.2,0.2,0.2,0.4
bc5fd3a5302349489a8329fdc749273c,23,NOT_FREQUENT,FEMALE,"롤,피파,캠핑,OTT 시청,롤토체스,뮤지컬,국내 여행",데이터사이언스학과,ISTJ,TRUE,0.2,0.2,0.2,0.4
4867bb108e8b42e69886ffdf577a5687,28,FREQUENT,FEMALE,"롤,패션,요리,캠핑,코딩",회계학과,ISFP,FALSE,0.2,0.2,0.2,0.4
72f23837f35e4ec38fc6792c2d7045db,24,FREQUENT,FEMALE,"투자,야구,인디음악,코딩,OTT 시청,악기 연주,배드민턴,클라이밍,오버워치,캠핑",식품영양학과,INTP,FALSE,0.2,0.2,0.2,0.4
2966bdfe155e4ff0ab8aeac477f74064,20,NOT_FREQUENT,MALE,"악기 연주,축구,전시회,티",중국언어문화학과,ISFJ,FALSE,0.2,0.2,0.2,0.4
58582e957bec473ab1f083e425c9f1d8,20,FREQUENT,MALE,"OTT 시청,야구,방탈출,요리,배그,롤토체스,피파,전시회,국내 여행,러닝",정보통신전자공학부,ISFP,FALSE,0.2,0.2,0.2,0.4
9eebdb254380477181ce6f859bf65d1b,20,NOT_FREQUENT,MALE,"스팀게임,영화,자전거,티,야구",정보통신전자공학부,INFP,FALSE,0.2,0.2,0.2,0.4
6259183413ec4f41881cc447de8f0cc4,21,NORMAL,FEMALE,"OTT 시청,보드게임,코딩",미디어기술콘텐츠학과,ISFP,TRUE,0.2,0.2,0.2,0.4
ec61469e56a144ed975098eb9fb26fcc,28,FREQUENT,FEMALE,"자전거,배그,수집,사진 촬영,클라이밍,캠핑,피파,방탈출,해외 여행,오버워치",행정학과,INTP,FALSE,0.2,0.2,0.2,0.4
4259b35f006a467cb0bf38d84a4148d0,30,NORMAL,FEMALE,"댄스,피파,휴식,요가,배드민턴,코딩,OTT 시청",의류학과,ISFJ,FALSE,0.2,0.2,0.2,0.4
